Feature,Importance
Age,0.17126214658047645
InterestRate,0.15393450261094674
Income,0.13730962741247404
LoanAmount,0.11236108834684812
MonthsEmployed,0.10467348446605264
CreditScore,0.08058722006203294
DTIRatio,0.06779544700744679
LoanTerm,0.02584539775214102
LoanPurpose,0.025809729920338847
EmploymentType,0.024479432212391405
NumCreditLines,0.022976627863622565
Education,0.0225128155090517
MaritalStatus,0.016849456362327105
HasCoSigner,0.011663356060094686
HasDependents,0.011346592324599947
HasMortgage,0.010593075509155166
